id,invoice_id,stripe_invoice_line_id,stripe_price_id,stripe_product_id,stripe_subscription_id,stripe_subscription_item_id,interval,amount,currency,description,created_at,updated_at
67,60,il_1LoNxtE224EiyBrBtX8HOStO,plan_KE4mFP8fpyoQwi,prod_Jx5sepNwyNqBOb,sub_1KDPouE224EiyBrBiW0NZHd8,si_KtCDe24r554UIb,month,700,usd,1 × Monthly Premium Plan (at $7.00 / month),2022-10-02 00:56:01,2022-10-02 00:56:01
68,61,il_1LojmZE224EiyBrBpKs4r4N6,plan_KvcjHe1OBO7Vvt,prod_Jx5sepNwyNqBOb,sub_1LojmZE224EiyBrBnNkrdjvQ,si_MXpRs3QnL2JHMM,month,500,usd,1 × Monthly Premium Plan (at $5.00 / month),2022-10-03 00:13:50,2022-10-03 00:13:50
69,62,il_1LpwyrE224EiyBrB3PrJ31Xb,plan_KE4mFP8fpyoQwi,prod_Jx5sepNwyNqBOb,sub_1JhcxKE224EiyBrBdPHRIY7l,si_KMLe2Y3fio2PEL,month,700,usd,1 × Monthly Premium Plan (at $7.00 / month),2022-10-06 08:31:30,2022-10-06 08:31:30
70,63,il_1Lq0GkE224EiyBrBt5a9YI0x,plan_KE4mFP8fpyoQwi,prod_Jx5sepNwyNqBOb,sub_1JhgFKE224EiyBrBvykjave1,si_KMP3jvitW0VzO5,month,700,usd,1 × Monthly Premium Plan (at $7.00 / month),2022-10-06 12:02:11,2022-10-06 12:02:11
71,64,il_1Lr20yE224EiyBrBWtg0OVQf,plan_KvcjHe1OBO7Vvt,prod_Jx5sepNwyNqBOb,sub_1KxZ0uE224EiyBrB6iCQZJA3,si_Lesm32BmgSeMJC,month,500,usd,1 × Monthly Premium Plan (at $5.00 / month),2022-10-09 08:06:09,2022-10-09 08:06:09
72,65,il_1LvHw6E224EiyBrBSCLP744r,plan_KE4mFP8fpyoQwi,prod_Jx5sepNwyNqBOb,sub_1Jc5eOE224EiyBrBToelZRTP,si_KGcuVhZs2GGpYy,month,700,usd,1 × Monthly Premium Plan (at $7.00 / month),2022-10-21 01:54:43,2022-10-21 01:54:43
73,66,il_1LwqtwE224EiyBrB7V4dX8K4,plan_KvcjHe1OBO7Vvt,prod_Jx5sepNwyNqBOb,sub_1LPUudE224EiyBrBcPiWD7QR,si_M7kPdq01ttMcgv,month,500,usd,1 × Monthly Premium Plan (at $5.00 / month),2022-10-25 09:26:56,2022-10-25 09:26:56
74,67,il_1LxAsoE224EiyBrBjDGkWzMS,plan_KE4mFP8fpyoQwi,prod_Jx5sepNwyNqBOb,sub_1JoqZzE224EiyBrBUdiHZqg6,si_KToCqKy2VMcrkH,month,700,usd,1 × Monthly Premium Plan (at $7.00 / month),2022-10-26 06:47:07,2022-10-26 06:47:07
75,68,il_1LzcotE224EiyBrBomGCyDIM,plan_KE4mFP8fpyoQwi,prod_Jx5sepNwyNqBOb,sub_1KDPouE224EiyBrBiW0NZHd8,si_KtCDe24r554UIb,month,700,usd,1 × Monthly Premium Plan (at $7.00 / month),2022-11-02 01:01:11,2022-11-02 01:01:11
76,69,il_1Lzyd0E224EiyBrBJZiiEQDv,plan_KvcjHe1OBO7Vvt,prod_Jx5sepNwyNqBOb,sub_1LojmZE224EiyBrBnNkrdjvQ,si_MXpRs3QnL2JHMM,month,500,usd,1 × Monthly Premium Plan (at $5.00 / month),2022-11-03 00:18:22,2022-11-03 00:18:22
77,70,il_1M1BlzE224EiyBrBgJJqM355,plan_KE4mFP8fpyoQwi,prod_Jx5sepNwyNqBOb,sub_1JhcxKE224EiyBrBdPHRIY7l,si_KMLe2Y3fio2PEL,month,700,usd,1 × Monthly Premium Plan (at $7.00 / month),2022-11-06 06:32:40,2022-11-06 06:32:40
