id,project_id,type,data,created_at,updated_at
585,58,project_mode_updated,"{""mode"":""on_hold""}",2022-03-24 08:18:14,2022-03-24 08:18:14
586,4,delivery_phase_updated,"{""phase"":""execute & control""}",2022-03-24 08:25:42,2022-03-24 08:25:42
587,20,project_mode_updated,"{""mode"":""closed""}",2022-03-24 09:27:18,2022-03-24 09:27:18
588,1,project_mode_updated,"{""mode"":""closed""}",2022-03-24 09:27:18,2022-03-24 09:27:18
589,27,project_mode_updated,"{""mode"":""closed""}",2022-03-24 09:27:18,2022-03-24 09:27:18
590,2,overall_status_updated,"{""status"":""green""}",2022-03-24 09:27:39,2022-03-24 09:27:39
591,2,constraint_status_updated,"{""status"":""yellow"",""constraint"":""schedule""}",2022-03-24 09:28:15,2022-03-24 09:28:15
592,2,escalated_issue_updated,,2022-03-24 09:31:28,2022-03-24 09:31:28
593,78,project_created,,2022-03-26 11:51:53,2022-03-26 11:51:53
594,78,overall_status_updated,"{""status"":""green""}",2022-03-26 11:51:53,2022-03-26 11:51:53
595,78,constraint_status_updated,"{""status"":""green"",""constraint"":""scope""}",2022-03-26 11:51:53,2022-03-26 11:51:53
596,78,constraint_status_updated,"{""status"":""green"",""constraint"":""budget""}",2022-03-26 11:51:53,2022-03-26 11:51:53
597,78,constraint_status_updated,"{""status"":""green"",""constraint"":""schedule""}",2022-03-26 11:51:53,2022-03-26 11:51:53
598,79,project_created,,2022-03-26 12:11:27,2022-03-26 12:11:27
599,79,overall_status_updated,"{""status"":""green""}",2022-03-26 12:11:27,2022-03-26 12:11:27
600,79,constraint_status_updated,"{""status"":""green"",""constraint"":""scope""}",2022-03-26 12:11:27,2022-03-26 12:11:27
601,79,constraint_status_updated,"{""status"":""green"",""constraint"":""budget""}",2022-03-26 12:11:27,2022-03-26 12:11:27
602,79,constraint_status_updated,"{""status"":""green"",""constraint"":""schedule""}",2022-03-26 12:11:27,2022-03-26 12:11:27
603,80,project_created,,2022-03-26 12:15:02,2022-03-26 12:15:02
604,80,overall_status_updated,"{""status"":""green""}",2022-03-26 12:15:02,2022-03-26 12:15:02
605,80,constraint_status_updated,"{""status"":""green"",""constraint"":""scope""}",2022-03-26 12:15:02,2022-03-26 12:15:02
606,80,constraint_status_updated,"{""status"":""green"",""constraint"":""budget""}",2022-03-26 12:15:02,2022-03-26 12:15:02
607,80,constraint_status_updated,"{""status"":""green"",""constraint"":""schedule""}",2022-03-26 12:15:02,2022-03-26 12:15:02
608,81,project_created,,2022-03-26 12:42:27,2022-03-26 12:42:27
609,81,overall_status_updated,"{""status"":""green""}",2022-03-26 12:42:27,2022-03-26 12:42:27
610,81,constraint_status_updated,"{""status"":""green"",""constraint"":""scope""}",2022-03-26 12:42:27,2022-03-26 12:42:27
611,81,constraint_status_updated,"{""status"":""green"",""constraint"":""budget""}",2022-03-26 12:42:27,2022-03-26 12:42:27
612,81,constraint_status_updated,"{""status"":""green"",""constraint"":""schedule""}",2022-03-26 12:42:27,2022-03-26 12:42:27
613,81,project_mode_updated,"{""mode"":""complete""}",2022-03-26 15:02:04,2022-03-26 15:02:04
614,81,project_mode_updated,"{""mode"":""closed""}",2022-03-26 15:02:26,2022-03-26 15:02:26
615,78,delivery_phase_updated,"{""phase"":""initiation""}",2022-03-26 15:03:10,2022-03-26 15:03:10
616,79,project_mode_updated,"{""mode"":""on_hold""}",2022-03-26 15:03:59,2022-03-26 15:03:59
617,79,project_mode_updated,"{""mode"":""cancelled""}",2022-03-26 15:09:24,2022-03-26 15:09:24
618,79,delivery_phase_updated,"{""phase"":""planning""}",2022-03-26 15:09:30,2022-03-26 15:09:30
619,78,overall_status_updated,"{""status"":""red""}",2022-03-26 15:52:07,2022-03-26 15:52:07
620,4,approved_revised_end_date_updated,,2022-03-28 08:00:30,2022-03-28 08:00:30
621,82,project_created,,2022-03-29 09:59:10,2022-03-29 09:59:10
622,82,overall_status_updated,"{""status"":""green""}",2022-03-29 09:59:10,2022-03-29 09:59:10
623,82,constraint_status_updated,"{""status"":""green"",""constraint"":""scope""}",2022-03-29 09:59:10,2022-03-29 09:59:10
624,82,constraint_status_updated,"{""status"":""green"",""constraint"":""budget""}",2022-03-29 09:59:10,2022-03-29 09:59:10
625,82,constraint_status_updated,"{""status"":""green"",""constraint"":""schedule""}",2022-03-29 09:59:10,2022-03-29 09:59:10
626,82,delivery_phase_updated,"{""phase"":""planning""}",2022-03-29 10:00:20,2022-03-29 10:00:20
627,83,project_created,,2022-03-29 10:06:36,2022-03-29 10:06:36
628,83,overall_status_updated,"{""status"":""green""}",2022-03-29 10:06:36,2022-03-29 10:06:36
629,83,constraint_status_updated,"{""status"":""green"",""constraint"":""scope""}",2022-03-29 10:06:36,2022-03-29 10:06:36
630,83,constraint_status_updated,"{""status"":""green"",""constraint"":""budget""}",2022-03-29 10:06:36,2022-03-29 10:06:36
631,83,constraint_status_updated,"{""status"":""green"",""constraint"":""schedule""}",2022-03-29 10:06:36,2022-03-29 10:06:36
632,83,delivery_phase_updated,"{""phase"":""execution""}",2022-03-29 10:07:21,2022-03-29 10:07:21
