user_id,app,created_at,updated_at
58,Microsoft Excel,2022-03-16 04:48:48,2022-03-16 04:48:48
58,Quick Bids,2022-03-16 04:48:48,2022-03-16 04:48:48
60,Microsoft Project,2022-03-17 08:07:20,2022-03-17 08:07:20
61,"Messaging Tools: Microsoft Teams, Slack, etc.",2022-03-17 10:19:27,2022-03-17 10:19:27
65,Google Docs,2022-03-18 08:39:58,2022-03-18 08:39:58
65,"Messaging Tools: Microsoft Teams, Slack, etc.",2022-03-18 08:39:58,2022-03-18 08:39:58
65,Microsoft Excel,2022-03-18 08:39:58,2022-03-18 08:39:58
65,Microsoft Word,2022-03-18 08:39:58,2022-03-18 08:39:58
68,,2022-03-23 14:39:20,2022-03-23 14:39:20
71,Hive,2022-05-11 04:37:25,2022-05-11 04:37:25
71,"Messaging Tools: Microsoft Teams, Slack, etc.",2022-05-11 04:37:25,2022-05-11 04:37:25
71,Microsoft Excel,2022-05-11 04:37:25,2022-05-11 04:37:25
72,Google Docs,2022-05-11 06:07:20,2022-05-11 06:07:20
72,Hive,2022-05-11 06:07:20,2022-05-11 06:07:20
72,"Messaging Tools: Microsoft Teams, Slack, etc.",2022-05-11 06:07:20,2022-05-11 06:07:20
72,Paper Notebook,2022-05-11 06:07:20,2022-05-11 06:07:20
76,"Messaging Tools: Microsoft Teams, Slack, etc.",2022-05-21 14:19:41,2022-05-21 14:19:41
76,Microsoft Excel,2022-05-21 14:19:41,2022-05-21 14:19:41
76,Microsoft Word,2022-05-21 14:19:41,2022-05-21 14:19:41
79,Google Docs,2022-06-10 04:34:46,2022-06-10 04:34:46
79,Google Sheets,2022-06-10 04:34:46,2022-06-10 04:34:46
79,Microsoft Excel,2022-06-10 04:34:46,2022-06-10 04:34:46
79,Microsoft Word,2022-06-10 04:34:46,2022-06-10 04:34:46
83,Google Docs,2022-06-15 08:54:25,2022-06-15 08:54:25
83,Google Sheets,2022-06-15 08:54:25,2022-06-15 08:54:25
83,Microsoft Excel,2022-06-15 08:54:25,2022-06-15 08:54:25
83,Microsoft Word,2022-06-15 08:54:25,2022-06-15 08:54:25
83,Paper Notebook,2022-06-15 08:54:25,2022-06-15 08:54:25
84,Enterprise Software,2022-06-17 06:49:12,2022-06-17 06:49:12
84,Infolio,2022-06-17 06:49:12,2022-06-17 06:49:12
84,"Messaging Tools: Microsoft Teams, Slack, etc.",2022-06-17 06:49:12,2022-06-17 06:49:12
84,Microsoft Project,2022-06-17 06:49:12,2022-06-17 06:49:12
85,"Messaging Tools: Microsoft Teams, Slack, etc.",2022-06-21 05:01:50,2022-06-21 05:01:50
85,Microsoft Excel,2022-06-21 05:01:50,2022-06-21 05:01:50
85,Microsoft Project,2022-06-21 05:01:50,2022-06-21 05:01:50
85,Microsoft Word,2022-06-21 05:01:50,2022-06-21 05:01:50
87,Google Docs,2022-06-27 10:53:04,2022-06-27 10:53:04
87,Microsoft Excel,2022-06-27 10:53:04,2022-06-27 10:53:04
89,Microsoft Excel,2022-07-01 00:07:16,2022-07-01 00:07:16
90,"Asana, Basecamp, Pivotal",2022-07-07 04:17:17,2022-07-07 04:17:17
90,"Messaging Tools: Microsoft Teams, Slack, etc.",2022-07-07 04:17:17,2022-07-07 04:17:17
90,Paper Notebook,2022-07-07 04:17:17,2022-07-07 04:17:17
91,Google Docs,2022-07-11 07:16:36,2022-07-11 07:16:36
91,Google Sheets,2022-07-11 07:16:36,2022-07-11 07:16:36
91,"Messaging Tools: Microsoft Teams, Slack, etc.",2022-07-11 07:16:36,2022-07-11 07:16:36
91,Paper Notebook,2022-07-11 07:16:36,2022-07-11 07:16:36
94,Enterprise Software,2022-08-10 20:33:25,2022-08-10 20:33:25
94,"Messaging Tools: Microsoft Teams, Slack, etc.",2022-08-10 20:33:25,2022-08-10 20:33:25
94,Microsoft Excel,2022-08-10 20:33:25,2022-08-10 20:33:25
94,Microsoft Project,2022-08-10 20:33:25,2022-08-10 20:33:25
94,Microsoft Word,2022-08-10 20:33:25,2022-08-10 20:33:25
95,Google Docs,2022-08-23 11:00:20,2022-08-23 11:00:20
95,Microsoft Excel,2022-08-23 11:00:20,2022-08-23 11:00:20
95,Paper Notebook,2022-08-23 11:00:20,2022-08-23 11:00:20
