id,project_id,date,overall_gyr_status,open_issues_count,past_due_actions_count,open_risks_count,open_ranked_risks_count,active_changes_count,created_at,updated_at,num_overall_gyr_status
6585,102,2022-07-28,green,0,0,0,0,0,2022-07-29 00:00:17,2022-07-29 00:00:17,1
6586,105,2022-07-28,green,2,4,0,0,0,2022-07-29 00:00:17,2022-07-29 00:00:17,1
6587,107,2022-07-28,green,3,3,0,0,0,2022-07-29 00:00:17,2022-07-29 00:00:17,1
6588,108,2022-07-28,green,0,0,0,0,0,2022-07-29 00:00:17,2022-07-29 00:00:17,1
6589,109,2022-07-28,green,0,0,0,0,0,2022-07-29 00:00:17,2022-07-29 00:00:17,1
6590,110,2022-07-28,green,1,1,0,0,0,2022-07-29 00:00:18,2022-07-29 00:00:18,1
6591,111,2022-07-28,green,2,2,0,0,0,2022-07-29 00:00:18,2022-07-29 00:00:18,1
6592,112,2022-07-28,green,0,0,0,0,0,2022-07-29 00:00:18,2022-07-29 00:00:18,1
6593,114,2022-07-28,green,0,0,0,0,0,2022-07-29 00:00:18,2022-07-29 00:00:18,1
6594,115,2022-07-28,green,0,0,0,0,0,2022-07-29 00:00:18,2022-07-29 00:00:18,1
6595,1,2022-07-29,red,2,1,2,1,0,2022-07-30 00:00:06,2022-07-30 00:00:06,3
6596,2,2022-07-29,green,5,4,3,2,3,2022-07-30 00:00:06,2022-07-30 00:00:06,1
6597,4,2022-07-29,yellow,8,7,6,4,3,2022-07-30 00:00:07,2022-07-30 00:00:07,2
6598,5,2022-07-29,green,1,1,0,0,0,2022-07-30 00:00:07,2022-07-30 00:00:07,1
6599,12,2022-07-29,yellow,4,5,4,3,3,2022-07-30 00:00:07,2022-07-30 00:00:07,2
6600,14,2022-07-29,green,5,0,0,0,0,2022-07-30 00:00:07,2022-07-30 00:00:07,1
6601,17,2022-07-29,green,10,0,0,0,0,2022-07-30 00:00:08,2022-07-30 00:00:08,1
6602,22,2022-07-29,green,0,0,0,0,0,2022-07-30 00:00:08,2022-07-30 00:00:08,1
6603,27,2022-07-29,green,3,0,1,0,0,2022-07-30 00:00:08,2022-07-30 00:00:08,1
6604,30,2022-07-29,green,1,1,0,0,0,2022-07-30 00:00:09,2022-07-30 00:00:09,1
6605,34,2022-07-29,green,0,0,0,0,0,2022-07-30 00:00:09,2022-07-30 00:00:09,1
6606,38,2022-07-29,green,0,0,0,0,0,2022-07-30 00:00:09,2022-07-30 00:00:09,1
6607,56,2022-07-29,green,6,3,2,1,1,2022-07-30 00:00:09,2022-07-30 00:00:09,1
